id,manifest
第45冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25212/manifest
第46冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25208/manifest
第47冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25182/manifest
第48冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25273/manifest
第49冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25274/manifest
第50冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25215/manifest
第51冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25243/manifest
第52冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25183/manifest
第53冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25193/manifest
第54冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25262/manifest
第55冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25207/manifest
第56冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25204/manifest
第57冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25216/manifest
第58冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25265/manifest
第59冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25268/manifest
第60冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25266/manifest
第61冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25190/manifest
第62冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25221/manifest
第63冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25232/manifest
第64冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25263/manifest
第65冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25241/manifest
第66冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25194/manifest
第67冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25276/manifest
第68冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25200/manifest
第69冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25230/manifest
第70冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25196/manifest
第71冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25224/manifest
第72冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25237/manifest
第73冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25270/manifest
第74冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25236/manifest
第75冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25205/manifest
第76冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25272/manifest
第77冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25219/manifest
第78冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25260/manifest
第79冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25254/manifest
第80冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25213/manifest
第81冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25277/manifest
第82冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25220/manifest
第83冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25189/manifest
第84冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25278/manifest
第85冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25239/manifest
第86冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25238/manifest
第87冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25191/manifest
第88冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25180/manifest
第89冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25187/manifest
第90冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25261/manifest
第91冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25211/manifest
第92冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25214/manifest
第93冊,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25269/manifest
新古大_拾帖,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25279/manifest
博物帖,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25223/manifest
_拾印刷雑帖,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25242/manifest
外国_拾帖 一,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25218/manifest
外国_拾帖 二,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25186/manifest
外国_拾帖 三,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25210/manifest
外国_拾帖 四,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25246/manifest
外国_拾帖 五,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25198/manifest
